Timestamp,Type,MMSI,NavigationStatus,TurnRate,SpeedOverGround,PositionAccuracy,Latitude,Longitude,COG,Heading,ROT,ManeuverIndicator
2023-05-25 13:21:53.644796,1,419900923,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,2.9,False,72.963063,18.797478,143.3,511,26,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:07.753482,1,419000341,<NavigationStatus.Undefined: 15>,<TurnRate.NO_TI_LEFT: -127.0>,8.3,True,72.841885,18.929512,343.9,345,60,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:21:57.804497,1,419000341,<NavigationStatus.Undefined: 15>,<TurnRate.NO_TI_RIGHT: 127.0>,8,True,72.841978,18.92914,348.1,350,60,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:12.043116,1,419901202,<NavigationStatus.Undefined: 15>,<TurnRate.NO_TI_DEFAULT: -128.0>,6.1,True,72.914057,18.975548,25.4,511,46,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:21:42.606873,1,419901202,<NavigationStatus.Undefined: 15>,<TurnRate.NO_TI_DEFAULT: -128.0>,8.7,True,72.913628,18.974488,18.3,511,17,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:12.973158,1,351276000,<NavigationStatus.UnderWayUsingEngine: 0>,-1,10.8,False,72.555728,18.892028,340.3,338,48,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:02.604425,1,351276000,<NavigationStatus.UnderWayUsingEngine: 0>,0,10.8,False,72.555912,18.891502,340.7,338,37,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:13.373103,1,352823000,<NavigationStatus.UnderWayUsingEngine: 0>,0,6.9,False,72.670133,18.822215,86,82,23,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:21:44.415707,1,352823000,<NavigationStatus.UnderWayUsingEngine: 0>,0,7,False,72.669147,18.82216,87,85,54,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:15.256274,1,419000667,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_RIGHT: 127.0>,13.4,False,72.843563,18.838587,320.3,318,49,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:11.133205,1,419000667,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_RIGHT: 127.0>,12.8,False,72.843703,18.838398,331,323,45,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:19.322448,1,636021344,<NavigationStatus.UnderWayUsingEngine: 0>,-2,9.9,False,72.518565,18.936803,161.1,164,52,<ManeuverIndicator.NotAvailable: 0>
